tweet_id,created_at,date,hour,weekday,username,category,location,tweet_text_raw,text_clean,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
10001,2023-10-01 08:00:00,2023-10-01,8,Sunday,user_0,Sports,UK,"""QT @user In the original draft of the 7th book, Remus Lupin survived the Battle of Hogwarts. #HappyBirthdayRemusLupin""",qt USER original draft book remus lupin survived battle hogwarts happybirthdayremuslupin,7,2,0.0014647496864199638,0.04307948052883148,0.9554557204246521,0.9539909707382321,Positive
10002,2023-10-01 08:11:00,2023-10-01,8,Sunday,user_1,General,Global,"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",ben smith smith concussion remains lineup thursday curtis nhl sj,6,2,0.2080865204334259,0.7825555205345154,0.009357945062220097,-0.1987285753712058,Neutral
10003,2023-10-01 08:22:00,2023-10-01,8,Sunday,user_2,News,Canada,Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,sorry bout stream last night crashed tonight sure back minecraft pc tomorrow night,29,15,0.34709447622299194,0.5051985383033752,0.1477070152759552,-0.19938746094703674,Neutral
10004,2023-10-01 08:33:00,2023-10-01,8,Sunday,user_3,General,UK,Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,chase headley rbi double inning david price snapped yankee streak NUMBER consecutive scoreless inning blue jay,3,1,0.008634929545223713,0.8800898194313049,0.11127520352602005,0.10264027398079634,Neutral
10005,2023-10-01 08:44:00,2023-10-01,8,Sunday,user_4,General,Canada,"@user Alciato: Bee will invest 150 million in January, another 200 in the Summer and plans to bring Messi by 2017""",USER alciato bee invest NUMBER million january another NUMBER summer plan bring messi NUMBER,0,0,0.006843178533017635,0.7086855173110962,0.2844712436199188,0.2776280650869012,Neutral
10006,2023-10-01 08:55:00,2023-10-01,8,Sunday,user_5,Gaming,UK,@user LIT MY MUM 'Kerry the louboutins I wonder how many Willam owns!!! Look Kerry Warner Wednesday!',USER lit mum kerry louboutins wonder many willam owns look kerry warner wednesday,20,7,0.03199068829417229,0.5008885264396667,0.4671207666397095,0.4351300783455372,Neutral
10007,2023-10-01 09:06:00,2023-10-01,9,Sunday,user_6,News,UK,"""\"""""""" SOUL TRAIN\"""""""" OCT 27 HALLOWEEN SPECIAL ft T.dot FINEST rocking the mic...CRAZY CACTUS NIGHT CLUB ..ADV ticket $10 wt out costume $15...""",soul oct NUMBER halloween special ft finest rocking mic crazy cactus night club adv ticket NUMBER wt costume NUMBER,0,0,0.008477841503918171,0.5467453598976135,0.4447768032550812,0.436298961751163,Neutral
10008,2023-10-01 09:17:00,2023-10-01,9,Sunday,user_7,News,Global,So disappointed in wwe summerslam! I want to see john cena wins his 16th title,disappointed wwe summerslam want see john cena win title,31,9,0.8881787657737732,0.09867267310619354,0.013148468919098377,-0.8750302968546748,Negative
10009,2023-10-01 09:28:00,2023-10-01,9,Sunday,user_8,News,US,"""This is the last Sunday w/o football .....,NFL is back baby""",last sunday football nfl back baby,7,2,0.010215074755251408,0.2195182740688324,0.7702666521072388,0.7600515773519874,Positive
10010,2023-10-01 09:39:00,2023-10-01,9,Sunday,user_9,General,Global,@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's job then John's cred then goes Vicki with the GM position.,USER USER cena aj sitting tree go aj job john cred go vicki gm position,25,12,0.019105713814496994,0.939535915851593,0.04135835915803909,0.0222526453435421,Neutral
10011,2023-10-01 09:50:00,2023-10-01,9,Sunday,user_10,Sports,UK,@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,USER well said hmw address texan fan file stadium midway qtr every game,9,6,0.07402640581130981,0.7979979515075684,0.12797559797763824,0.05394919216632843,Neutral
10012,2023-10-01 10:01:00,2023-10-01,10,Sunday,user_11,News,UK,Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,said hello dennis kucinich walked casually campus hotwife st,13,4,0.0025151639711111784,0.3206520676612854,0.6768327355384827,0.6743175715673715,Positive
10013,2023-10-01 10:12:00,2023-10-01,10,Sunday,user_12,General,US,Super excited for homecoming Saturday with Monroe! :D my new nephew is here but I can\u2019t see him :(,super excited homecoming saturday monroe new nephew see,24,14,0.010360768996179104,0.027661429718136787,0.9619777798652649,0.9516170108690858,Positive
